idx,Variable,Unit,r21m42,r21m42_unit,factor,Comment,Category,Definition,available,source,quality,useful
0,Fertilizer Use|Nitrogen,Tg N/yr,TODO,Mt N/yr,,,Agriculture,total nitrogen fertilizer use (organic + inorganic),yes,endogenous,high,no
1,Fertilizer Use|Phosphorus,Tg P/yr,,,,,Agriculture,total phosphorus fertilizer use (organic + inorganic),,,,no
2,Fertilizer Use|Potassium,Tg K2O/yr,,,,,Agriculture,total potassium fertilizer use (organic + inorganic),,,,no
3,Fertilizer use|Nitrogen|Inorganic,EJ/yr,SDG|SDG06|Fertilizer use,Mt N/yr,,,Agriculture,Total nitrogen inputs in inorganic fertilizer use,yes,endogenous,high,no
4,Fertilizer use|Nitrogen|Organic,EJ/yr,Resources|Nitrogen|Manure,Mt Nr/yr,,,Agriculture,Total nitrogen inputs in organic fertilizer use,yes,endogenous,high,no
5,Fertilizer use|Phosphorous|Inorganic,EJ/yr,,,,,Agriculture,Total phosphorous inputs in inorganic fertilizer use,,,,no
6,Fertilizer use|Phosphorous|Organic,EJ/yr,,,,,Agriculture,Total phosphorous inputs in organic fertilizer use,,,,no
7,Fertilizer use|Potassium|Inorganic,EJ/yr,,,,,Agriculture,Total potassium inputs in inorganic fertilizer use,,,,no
8,Fertilizer use|Potassium|Organic,EJ/yr,,,,,Agriculture,Total potassium inputs in organic fertilizer use,,,,no
9,Yield|Bioenergy|2nd generation,t DM/ha/yr,Productivity|Yield|+|Bioenergy crops,t DM/ha,,,Agriculture,"aggregated yield of 2nd generation energy crops (e.g., switchgrass, miscanthus, fast-growing wood species)",yes,endogenous,high,no
10,Yield|Cereal,t DM/ha/yr,Productivity|Yield|Crops|+|Cereals,t DM/ha,,,Agriculture,yield of cereal production per until of area (used here as repreentative crop to measure yield assumptions),yes,endogenous,high,no
11,Yield|Oilcrops,t DM/ha/yr,Productivity|Yield|Crops|+|Oil crops,t DM/ha,,,Agriculture,"aggregated yield of Oilcrops (e.g. soybean, rapeseed, groundnut, sunflower, oilpalm)",yes,endogenous,high,no
12,Yield|Sugarcrops,t DM/ha/yr,Productivity|Yield|Crops|+|Sugar crops,t DM/ha,,,Agriculture,"aggregated yield of Sugarcrops (e.g. sugarbeet, sugarcane)",yes,endogenous,high,no
13,Carbon Sequestration|CCS,Mt CO2/yr,Emi|CO2|Carbon Capture and Storage,Mt CO2/yr,,,CCS,"total carbon dioxide emissions captured and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",yes,endogenous,high,no
14,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,Emi|CO2|Carbon Capture and Storage|Biomass,Mt CO2/yr,,,CCS,"total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",yes,endogenous,high,no
15,Carbon Sequestration|CCS|Biomass|Energy,Mt CO2/yr,Emi|CO2|CDR|BECCS,Mt CO2/yr,,,CCS,"total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",yes,endogenous,high,no
16,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,Mt CO2/yr,Emi|CO2|Carbon Capture and Storage|Biomass|Energy|Demand|Industry,Mt CO2/yr,,,CCS,"total carbon dioxide emissions captured from bioenergy use in industry (IPCC category 1A2) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",yes,endogenous,high,no
17,Carbon Sequestration|CCS|Biomass|Energy|Supply,Mt CO2/yr,,,,,CCS,"total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",,,,no
18,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,Mt CO2/yr,Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Electricity|w/ couple prod,Mt CO2/yr,,,CCS,"total carbon dioxide emissions captured from bioenergy use in electricity production (part of IPCC category 1A1a) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",yes,endogenous,high,no
19,Carbon Sequestration|CCS|Biomass|Energy|Supply|Gases,Mt CO2/yr,Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Gases|w/ couple prod,Mt CO2/yr,,,CCS,"total carbon dioxide emissions captured from bioenergy use in gaseous fuel production, excl. hydrogen (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",yes,endogenous,high,no
20,Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen,Mt CO2/yr,Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Hydrogen|w/ couple prod,Mt CO2/yr,,,CCS,"total carbon dioxide emissions captured from bioenergy use in hydrogen production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",yes,endogenous,high,no
21,Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,Mt CO2/yr,Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Liquids|w/ couple prod,Mt CO2/yr,,,CCS,"total carbon dioxide emissions captured from bioenergy use in liquid fuel production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",yes,endogenous,high,no
22,Carbon Sequestration|CCS|Biomass|Energy|Supply|Other,Mt CO2/yr,Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Heat|w/ couple prod,Mt CO2/yr,,,CCS,"total carbon dioxide emissions captured from bioenergy use in other energy supply (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",,,,no
23,Carbon Sequestration|CCS|Biomass|Industrial Processes,Mt CO2/yr,,,,,CCS,"total carbon dioxide emissions captured from industrial processes from biomass (e.g., cement production, but not from fossil fuel burning) use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",,,,no
