parent;child
Agricultural Demand|Crops|Energy;Agricultural Demand|Crops|Energy|1st generation
Agricultural Demand|Crops|Energy;Agricultural Demand|Crops|Energy|2nd generation
Agricultural Demand|Crops;Agricultural Demand|Crops|Energy
Agricultural Demand|Crops;Agricultural Demand|Crops|Feed
Agricultural Demand|Crops;Agricultural Demand|Crops|Food
Agricultural Demand|Crops;Agricultural Demand|Crops|Other
Agricultural Demand|Livestock;Agricultural Demand|Livestock|Food
Agricultural Demand|Livestock;Agricultural Demand|Livestock|Other
Agricultural Demand;Agricultural Demand|Crops
Agricultural Demand;Agricultural Demand|Livestock
Capacity|Gases|Biomass;Capacity|Gases|Biomass|w/ CCS
Capacity|Gases|Biomass;Capacity|Gases|Biomass|w/o CCS
Capacity|Gases|Coal;Capacity|Gases|Coal|w/ CCS
Capacity|Gases|Coal;Capacity|Gases|Coal|w/o CCS
Capacity|Hydrogen|Biomass;Capacity|Hydrogen|Biomass|w/ CCS
Capacity|Hydrogen|Biomass;Capacity|Hydrogen|Biomass|w/o CCS
Capacity|Hydrogen|Coal;Capacity|Hydrogen|Coal|w/ CCS
Capacity|Hydrogen|Coal;Capacity|Hydrogen|Coal|w/o CCS
Capacity|Hydrogen|Gas;Capacity|Hydrogen|Gas|w/ CCS
Capacity|Hydrogen|Gas;Capacity|Hydrogen|Gas|w/o CCS
Capacity|Liquids|Biomass;Capacity|Liquids|Biomass|w/ CCS
Capacity|Liquids|Biomass;Capacity|Liquids|Biomass|w/o CCS
Capacity|Liquids|Coal;Capacity|Liquids|Coal|w/ CCS
Capacity|Liquids|Coal;Capacity|Liquids|Coal|w/o CCS
Capacity|Liquids|Gas;Capacity|Liquids|Gas|w/ CCS
Capacity|Liquids|Gas;Capacity|Liquids|Gas|w/o CCS
Carbon Sequestration|CCS|Biomass|Energy|Supply;Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity
Carbon Sequestration|CCS|Biomass|Energy|Supply;Carbon Sequestration|CCS|Biomass|Energy|Supply|Gases
Carbon Sequestration|CCS|Biomass|Energy|Supply;Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen
Carbon Sequestration|CCS|Biomass|Energy|Supply;Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids
Carbon Sequestration|CCS|Biomass|Energy|Supply;Carbon Sequestration|CCS|Biomass|Energy|Supply|Other
Carbon Sequestration|CCS|Fossil|Energy|Supply;Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity
Carbon Sequestration|CCS|Fossil|Energy|Supply;Carbon Sequestration|CCS|Fossil|Energy|Supply|Gases
Carbon Sequestration|CCS|Fossil|Energy|Supply;Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen
Carbon Sequestration|CCS|Fossil|Energy|Supply;Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids
Carbon Sequestration|CCS|Fossil|Energy|Supply;Carbon Sequestration|CCS|Fossil|Energy|Supply|Other
Carbon Sequestration|CCS|Biomass|Energy;Carbon Sequestration|CCS|Biomass|Energy|Supply
Carbon Sequestration|CCS|Fossil|Energy;Carbon Sequestration|CCS|Fossil|Energy|Supply
Carbon Sequestration|CCS|Biomass;Carbon Sequestration|CCS|Biomass|Energy
Carbon Sequestration|CCS|Biomass;Carbon Sequestration|CCS|Biomass|Industrial Processes
Carbon Sequestration|CCS|Fossil;Carbon Sequestration|CCS|Fossil|Energy
Carbon Sequestration|CCS|Fossil;Carbon Sequestration|CCS|Fossil|Industrial Processes
Carbon Sequestration|CCS;Carbon Sequestration|CCS|Biomass
Carbon Sequestration|CCS;Carbon Sequestration|CCS|Fossil
Carbon Sequestration|CCS;Carbon Sequestration|CCS|Industrial Processes
Carbon Sequestration|Feedstocks;Carbon Sequestration|Feedstocks|Biomass
Carbon Sequestration|Feedstocks;Carbon Sequestration|Feedstocks|Fossil
Carbon Sequestration|Land Use;Carbon Sequestration|Land Use|Afforestation
Carbon Sequestration|Land Use;Carbon Sequestration|Land Use|Biochar
Carbon Sequestration|Land Use;Carbon Sequestration|Land Use|Other
Carbon Sequestration|Land Use;Carbon Sequestration|Land Use|Soil Carbon Management
Agricultural Production|Energy;Agricultural Production|Energy|Crops
Agricultural Production|Energy;Agricultural Production|Energy|Residues
Agricultural Production|Non-Energy;Agricultural Production|Non-Energy|Crops
Agricultural Production|Non-Energy;Agricultural Production|Non-Energy|Livestock
Agricultural Production;Agricultural Production|Energy
Agricultural Production;Agricultural Production|Non-Energy
Emissions|BC|Energy|Demand|Residential and Commercial;Emissions|BC|Energy|Demand|Residential and Commercial|Commercial
